"Timestamp","Programme of Study","Faculty of Your study"," Name of the Department ","Semester of Study","Residence","Gender","Category","Academic [Content of Syllabi of the courses]","Academic [Experience with extend and delivery of syllabus covered in the class]","Academic [Use  of teaching aids and ICT in the class to facilitate teaching ]","Academic [Experience with Internal assessement]","Academic [Student Teacher Interaction]","Academic [Use of non-traditional methods of evaluation like quiz, assignments, seminar, presentation etc.]","Academic [Integration of theory and practical classes]","Academic [Stimulation for innovative thinking]","Academic [Overall Learning experience]","Academic [Condition of Lab Equipment ]","Academic [Availability of Online resources]","Academic [Research facilities in the Department for research projects/M.Phil./Ph.D.]","Academic [Opportunity to participate in seminar/workshop/conference]","Academic [Experience with research guidance]","Academic [Participation in cio-academic and cultural events]","Infrastructure [Class room Facilities ( LCD/Audio/Computer etc.)]","Infrastructure [Food Outlets/Canteens]","Infrastructure [Libraryu Reading Room Facility]","Infrastructure [Library digital resources and reading material support]","Infrastructure [Internet Facility]","Infrastructure [University Website]","Infrastructure [Department Website]","Infrastructure [Sports facilities]","Infrastructure [Hostel Facility]","Infrastructure [Drinking Water Facility]","Infrastructure [Washroom Facilities]","Support System [Experience of the admission process to the programme you have enrolled in]","Support System [Help received by Orientation programme of the Department]","Support System [Experience with University's Administrative Staff]","Support System [Experience with Department's Administrative Staff]","Support System [Experience with Announcement of result]","Support System [Experience with Availability of Marksheet]","Support System [Experience with evaluation process ]","Support System [Provision of transport facility]","Support System [Availability of healthcare facility]","Support System [Functioning of Placement Cell of the University]","Support System [Functioning of Placement Cell of the Department]","Skills developed during course of study [Analytical Skills]","Skills developed during course of study [Team work/Collaboration Skills]","Skills developed during course of study [Entrepreneurial/Job Skills]","Skills developed during course of study [Clarity of Career Perspective]","Skills developed during course of study [IT Skills]","Skills developed during course of study [Communication Skills]","Skills developed during course of study [Time Management]","Skills developed during course of study [Problem Siolving Skills]","Skills developed during course of study [Leadership Qualities]","Skills developed during course of study [Critical Thinking]","Overall University Experience [Your Overall academic experience]","Overall University Experience [Would you recommend this University to others including ]","Suggestions, if any:"
"2022/04/07 6:26:50 PM GMT+5:30","Masters","Social Sciences","Political science ","IV","PG/Rented","Male","General","Excellent","Excellent","Excellent","Very Good","Excellent","Excellent","Excellent","Excellent","Excellent","Very Good","Excellent","Very Good","Very Good","Very Good","Very Good","Good","Good","Good","Very Good","Good","Good","Average","Average","Average","Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Excellent","Build more hostels"
"2022/04/07 6:30:06 PM GMT+5:30","Masters","Social Sciences","Political science","IV","Local","Male","SC","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Average","Good","Average","Below Average","Below Average","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Averge","Below Average","Below Average","Below Average","Below Average","Below Average","Average","No"
"2022/04/07 6:30:33 PM GMT+5:30","Masters","Social Sciences","Political science","IV","PG/Rented","Male","EWS","Excellent","Good","Below Average","Very Good","Good","Very Good","Below Average","Very Good","Very Good","Below Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Average","Below Average","Below Average","Below Average","Below Average","Below Average","Below Average","Very Good","Good","Very Good","Very Good","Good","Good","Good","Good","Good","Below Average","Below Average","Below Average","Below Average","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Very Good","Excellent","There should more infrastructure facilities like big classroom that can accommodate all the students for example there were classes in which the class is full and the remaining students have to stand to listen classes and the strength of the classe must must reduced to 250 in masters political science course ..."
"2022/04/07 6:32:30 PM GMT+5:30","Masters","Social Sciences","Department of Political Science","IV","PG/Rented","Male","OBC","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Excellent","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","More skill based courses should be imparted"
"2022/04/07 6:34:41 PM GMT+5:30","Masters","Arts","Political science","IV","NCR","Female","OBC","Average","Average","Average","Below Average","Average","Below Average","Below Average","Average","Average","Average","Average","Average","Average","Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Average","Average","Average","Average","Below Average","Average","Average","Average","Average","Average","Below Average","Below Average","Below Average","Average","Below Average","Average","Average","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Averge","Average","Good","Regular classes and infrastructure can be improve.... Like number of seats in a class etc. "
"2022/04/07 6:35:09 PM GMT+5:30","Masters","Arts","Deparment of Political Science","IV","PG/Rented","Male","General","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","Good","no"
"2022/04/07 6:36:37 PM GMT+5:30","Masters","Social Sciences","Department of political science","IV","Other","Male","EWS","Excellent","Average","Below Average","Average","Good","Good","Average","Average","Good","Below Average","Below Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Average","Average","Below Average","Average","Average","Below Average","Below Average","Below Average","Average","Average","Average","Average","Average","Average","Below Average","Average","Don't Know","Below Average","Average","Average","Below Average","Averge","Below Average","Averge","Averge","Averge","Averge","Averge","Below Average","Averge","Below Average","Good","Please improve the library infrastructure and canteen."
"2022/04/07 6:36:41 PM GMT+5:30","Masters","Arts","Political science ","IV","PG/Rented","Female","ST","Good","Average","Average","Good","Average","Below Average","Average","Very Good","Good","Don't know","Very Good","Don't know","Good","Good","Good","Average","Below Average","Good","Average","Below Average","Average","Good","Below Average","Don't know","Below Average","Below Average","Below Average","Good","Good","Good","Below Average","Below Average","Average","Below Average","Below Average","Average","Average","Averge","Good","Good","Good","Good","Good","Good","Averge","Good","Averge","Average","Good","Announcing of result at the earliest "
"2022/04/07 6:37:50 PM GMT+5:30","Masters","Social Sciences","Political science department ","IV","PG/Rented","Female","SC","Excellent","Good","Average","Very Good","Good","Good","Don't know","Not applicable","Good","Not applicable","Good","Not applicable","Don't know","Very Good","Don't know","Good","Don't know","Don't know","Don't know","Below Average","Good","Good","Not applicable","Not applicable","Don't know","Below Average","Good","Good","Good","Good","Average","Average","Average","Below Average","Below Average","Below Average","Below Average","Averge","Averge","Below Average","Good","Below Average","Very Good","Averge","Good","Good","Averge","Good","Good","Give exam to exam break for preparation "
"2022/04/07 6:38:38 PM GMT+5:30","Masters","Social Sciences","Political Science","IV","NCR","Female","OBC;SC","Good","Good","Average","Very Good","Good","Average","Average","Below Average","Good","Average","Good","Good","Very Good","Very Good","Average","Good","Average","Good","Good","Average","Good","Good","Good","Very Good","Good","Average","Good","Good","Average","Average","Good","Good","Good","Average","Average","Average","Good","Averge","Good","Averge","Averge","Averge","Good","Good","Good","Good","Good","Very Good","Very Good","In some functions, it can be more improved or better by the University"
